,venue_boundaries,venue_highest_runs,venue_boundaries_first_six,venue_avg_wicket,SR,avg,batting_team,bowling_team,BF,runs,_4s,_6s,_30s,_50s,economy,wickets,innings,runs_after_6ovs
0,74,263,40,5,1.154072096,24.83908046,Kolkata Knight Riders,Royal Challengers Bangalore,1248.333333,1440.666667,145,58,58,58,7.585662211,80.66666667,1,61
1,74,263,40,5,1.188507566,27.43607306,Royal Challengers Bangalore,Kolkata Knight Riders,1685.166667,2002.833333,192.6666667,54.66666667,73,73,8.074994353,70,2,26
2,30,213,21,5,1.197899838,26.24778761,Chennai Super Kings,Kings XI Punjab,1650.666667,1977.333333,228,48.33333333,75.33333333,75.33333333,7.819892473,33,1,53
3,30,213,21,5,1.137992832,18.14285714,Kings XI Punjab,Chennai Super Kings,279,317.5,33,10,17.5,17.5,8.617621899,31.5,2,63
4,32,231,19,6,1.331647399,23.10971787,Rajasthan Royals,Delhi Daredevils,1384,1843,165.5,89.5,79.75,79.75,7.245421245,17.66666667,1,40
5,32,231,19,6,1.266521649,28.36890951,Delhi Daredevils,Rajasthan Royals,3218,4075.666667,475.6666667,92,143.6666667,143.6666667,7.587470449,95,2,55
6,36,232,19,5,1.234249714,22.92553191,Deccan Chargers,Kolkata Knight Riders,873,1077.5,105.75,43.75,47,47,8.074994353,70,1,39
7,36,232,19,5,1.189585282,22.91291291,Kolkata Knight Riders,Deccan Chargers,1282.8,1526,141.8,59.8,66.6,66.6,7.698825503,47,2,26
8,25,189,16,5,1.247074707,24.09565217,Mumbai Indians,Royal Challengers Bangalore,888.8,1108.4,111,41.4,46,46,7.643027414,107,1,47
9,25,189,16,5,1.143669986,23.13669065,Royal Challengers Bangalore,Mumbai Indians,937.3333333,1072,113,24.66666667,46.33333333,46.33333333,7.761695906,83,2,40
10,32,205,18,5,1.168008048,22.54368932,Kings XI Punjab,Rajasthan Royals,662.6666667,774,87,15.66666667,34.33333333,34.33333333,7.587470449,95,1,54
11,32,205,18,5,1.337430964,23.16975309,Rajasthan Royals,Kings XI Punjab,1122.6,1501.4,135.6,73,64.8,64.8,7.819892473,33,2,53
12,63,231,38,5,1.234249714,22.92553191,Deccan Chargers,Delhi Daredevils,873,1077.5,105.75,43.75,47,47,7.647727273,12.5,1,25
13,63,231,38,5,1.266521649,28.36890951,Delhi Daredevils,Deccan Chargers,3218,4075.666667,475.6666667,92,143.6666667,143.6666667,7.717853839,64.5,2,48
14,93,246,59,5,1.256024762,27.3125,Chennai Super Kings,Mumbai Indians,2261.5,2840.5,295,86,104,104,7.761695906,83,1,53
15,93,246,59,5,1.261461643,24.70222222,Mumbai Indians,Chennai Super Kings,1101.5,1389.5,139,52.75,56.25,56.25,8.617621899,31.5,2,52
16,63,231,38,5,1.276611694,23.48965517,Deccan Chargers,Rajasthan Royals,667,851.5,88.25,36,36.25,36.25,7.550074421,87.66666667,1,58
17,63,231,38,5,1.310157001,21.75,Rajasthan Royals,Deccan Chargers,1040.333333,1363,123.3333333,59.33333333,62.66666667,62.66666667,7.567567568,78.66666667,2,73
18,30,213,21,5,1.145911478,18.40361446,Kings XI Punjab,Mumbai Indians,888.6666667,1018.333333,100,24.66666667,55.33333333,55.33333333,7.761695906,83,1,60
19,30,213,21,5,1.254499182,21.70125786,Mumbai Indians,Kings XI Punjab,1375.25,1725.25,165,66,79.5,79.5,7.739130435,52.5,2,39
20,93,246,59,5,1.189585282,22.91291291,Kolkata Knight Riders,Chennai Super Kings,1282.8,1526,141.8,59.8,66.6,66.6,8.854727133,23.66666667,1,61
21,93,246,59,5,1.199575372,23.54166667,Chennai Super Kings,Kolkata Knight Riders,1648.5,1977.5,243,46.5,84,84,8.074994353,70,2,45
22,74,263,40,5,1.104305284,24.11538462,Royal Challengers Bangalore,Rajasthan Royals,1277.5,1410.75,148.5,29.5,58.5,58.5,7.531712474,77,1,57
23,74,263,40,5,1.311627907,23.64071856,Rajasthan Royals,Royal Challengers Bangalore,1505,1974,184.5,90.25,83.5,83.5,7.812086209,126,2,45
24,27,187,16,5,1.225594008,26.00273973,Mumbai Indians,Deccan Chargers,1548.8,1898.2,194.4,57.4,73,73,7.825515125,31.5,1,27
25,27,187,16,5,1.280501089,23.51,Deccan Chargers,Mumbai Indians,918,1175.5,136,48.5,50,50,7.787981094,54.2,2,60
26,30,213,21,5,1.265354493,28.16284404,Delhi Daredevils,Kings XI Punjab,2426,3069.75,358,69,109,109,7.739130435,52.5,1,45
27,30,213,21,5,1.165340407,22.85549133,Kings XI Punjab,Delhi Daredevils,848.25,988.5,109.5,21,43.25,43.25,7.46130031,20,2,55
28,74,263,40,5,1.197899838,26.24778761,Chennai Super Kings,Royal Challengers Bangalore,1650.666667,1977.333333,228,48.33333333,75.33333333,75.33333333,7.325920778,118.6666667,1,36
29,74,263,40,5,1.146184739,17.19277108,Royal Challengers Bangalore,Chennai Super Kings,415,475.6666667,36,18.66666667,27.66666667,27.66666667,8.617621899,31.5,2,45
30,36,232,19,5,1.161038454,23.14396887,Kolkata Knight Riders,Mumbai Indians,1024.6,1189.6,109.6,50,51.4,51.4,7.900332226,91.4,1,40
31,36,232,19,5,1.214917934,24.04421769,Mumbai Indians,Kolkata Knight Riders,2327.4,2827.6,272,87.2,117.6,117.6,8.074994353,70,2,38
32,32,231,19,6,1.266521649,28.36890951,Delhi Daredevils,Royal Challengers Bangalore,3218,4075.666667,475.6666667,92,143.6666667,143.6666667,7.325920778,118.6666667,1,58
33,32,231,19,6,1.098916968,20.56756757,Royal Challengers Bangalore,Delhi Daredevils,1108,1217.6,125.2,27.6,59.2,59.2,8.009019166,17,2,55
34,32,205,18,5,1.082254379,20.3,Rajasthan Royals,Kolkata Knight Riders,437.6666667,473.6666667,57.33333333,8.333333333,23.33333333,23.33333333,8.064628821,56.25,1,45
35,32,205,18,5,1.103216684,21.67361111,Kolkata Knight Riders,Rajasthan Royals,707.25,780.25,75.5,23,36,36,7.518565294,73.66666667,2,51
36,63,231,38,5,1.209189391,23.80147059,Deccan Chargers,Kings XI Punjab,892.3333333,1079,118.3333333,42.66666667,45.33333333,45.33333333,7.836199359,58.33333333,1,50
37,63,231,38,5,1.28035982,35.09589041,Kings XI Punjab,Deccan Chargers,1000.5,1281,137.5,39.5,36.5,36.5,7.825515125,31.5,2,41
38,93,246,59,5,1.162595698,20.70779221,Chennai Super Kings,Delhi Daredevils,914.3333333,1063,137.6666667,18.33333333,51.33333333,51.33333333,8.243087558,25,1,47
39,93,246,59,5,1.291852679,27.23529412,Delhi Daredevils,Chennai Super Kings,2688,3472.5,413,82.5,127.5,127.5,8.114770798,53,2,64
40,30,213,21,5,1.252181025,29.44230769,Kings XI Punjab,Kolkata Knight Riders,1222.666667,1531,171,38.66666667,52,52,8.074994353,70,1,49
41,30,213,21,5,1.121555916,19.93415638,Kolkata Knight Riders,Kings XI Punjab,719.8333333,807.3333333,68.66666667,29.83333333,40.5,40.5,7.709803922,78,2,31
42,74,263,40,5,1.254160063,29.58411215,Royal Challengers Bangalore,Deccan Chargers,1682.666667,2110.333333,184,70.66666667,71.33333333,71.33333333,7.713934426,33.25,1,46
43,74,263,40,5,1.24860253,25.64350453,Deccan Chargers,Royal Challengers Bangalore,1699.5,2122,203.5,85.75,82.75,82.75,7.325920778,118.6666667,2,33
44,32,205,18,5,1.266770133,24.81756757,Chennai Super Kings,Rajasthan Royals,1933,2448.666667,229.3333333,83,98.66666667,98.66666667,7.519940086,77.5,1,38
45,32,205,18,5,1.105613701,24.20833333,Rajasthan Royals,Chennai Super Kings,525.5,581,75,9.5,24,24,8.298769772,27.5,2,44
46,27,187,16,5,1.25984252,24,Mumbai Indians,Delhi Daredevils,381,480,55,21,20,20,8.009019166,17,1,50
47,27,187,16,5,1.321946329,29.1547619,Delhi Daredevils,Mumbai Indians,3242,4285.75,455.5,128.75,147,147,7.891902439,110.3333333,2,37
48,74,263,40,5,1.187353151,28.00722892,Royal Challengers Bangalore,Kings XI Punjab,1957.8,2324.6,224.8,63,83,83,7.77480916,53.33333333,1,26
49,74,263,40,5,1.285714286,32.38043478,Kings XI Punjab,Royal Challengers Bangalore,772.3333333,993,108,30,30.66666667,30.66666667,7.426951301,109.25,2,52
50,93,246,59,5,1.24101741,24.33656174,Chennai Super Kings,Deccan Chargers,1619.8,2010.2,210.2,57.2,82.6,82.6,7.716186253,41,1,34
51,93,246,59,5,1.215439149,24.49206349,Deccan Chargers,Chennai Super Kings,846.3333333,1028.666667,110.6666667,42,42,42,8.114770798,53,2,50
52,27,187,16,5,1.311121688,24.16374269,Rajasthan Royals,Mumbai Indians,1575.75,2066,197.5,92.5,85.5,85.5,7.761695906,83,1,48
53,27,187,16,5,1.25984252,24,Mumbai Indians,Rajasthan Royals,381,480,55,21,20,20,7.400749064,64.33333333,2,34
54,32,231,19,6,1.321946329,29.1547619,Delhi Daredevils,Chennai Super Kings,3242,4285.75,455.5,128.75,147,147,8.183016105,75,1,50
55,32,231,19,6,1.184027778,18.94444444,Chennai Super Kings,Delhi Daredevils,144,170.5,24,3,9,9,8.243087558,25,2,62
56,36,232,19,5,1.1218716,22.17204301,Kolkata Knight Riders,Royal Challengers Bangalore,919,1031,89,36.25,46.5,46.5,7.563799169,123.5,1,41
57,36,232,19,5,1.134924078,23.56756757,Royal Challengers Bangalore,Kolkata Knight Riders,576.25,654,77.5,10.25,27.75,27.75,7.948514851,50.5,2,35
58,32,205,18,5,1.230224813,25.47413793,Deccan Chargers,Rajasthan Royals,1201,1477.5,161,61.5,58,58,7.531712474,77,1,50
59,32,205,18,5,1.302103879,21.76373626,Rajasthan Royals,Deccan Chargers,1521,1980.5,178.5,85,91,91,7.57,57.5,2,50
60,93,246,59,5,1.280312445,26.41758242,Chennai Super Kings,Kings XI Punjab,1408.25,1803,174.5,58.25,68.25,68.25,7.836199359,58.33333333,1,53
61,93,246,59,5,1.249316139,29.60185185,Kings XI Punjab,Chennai Super Kings,639.75,799.25,85.25,24.75,27,27,8.183016105,75,2,35
62,63,231,38,5,1.008855155,23.11594203,Kolkata Knight Riders,Deccan Chargers,527,531.6666667,58,14.66666667,23,23,7.701140385,36.5,1,43
63,63,231,38,5,1.246351931,25.17919075,Deccan Chargers,Kolkata Knight Riders,1398,1742.4,165.2,70,69.2,69.2,7.95,62.33333333,2,55
64,32,205,18,5,1.291852679,27.23529412,Delhi Daredevils,Rajasthan Royals,2688,3472.5,413,82.5,127.5,127.5,7.584225646,76.66666667,1,47
65,32,205,18,5,1.3045579,23.47826087,Rajasthan Royals,Delhi Daredevils,1552.25,2025,189,91.5,86.25,86.25,7.778875849,33,2,21
66,30,213,21,5,1.232726299,28.50154799,Royal Challengers Bangalore,Kings XI Punjab,1493.6,1841.2,174,54.8,64.6,64.6,7.812765957,111.3333333,1,50
67,30,213,21,5,1.298480786,33.02272727,Kings XI Punjab,Royal Challengers Bangalore,1119,1453,159,44.5,44,44,7.325920778,118.6666667,2,42
68,36,232,19,5,0.984,18.92307692,Kolkata Knight Riders,Delhi Daredevils,125,123,18.5,1,6.5,6.5,8.111906311,30,1,35
69,36,232,19,5,1.288079897,27.72676838,Delhi Daredevils,Kolkata Knight Riders,2586.666667,3331.833333,353,96.5,120.1666667,120.1666667,7.946345469,59.33333333,2,37
70,25,189,16,5,1.280312445,26.41758242,Chennai Super Kings,Mumbai Indians,1408.25,1803,174.5,58.25,68.25,68.25,7.891902439,110.3333333,1,28
71,25,189,16,5,1.18126428,28.72222222,Mumbai Indians,Chennai Super Kings,1313,1551,190,34,54,54,8.183016105,75,2,78
72,32,231,19,6,1.266521649,28.36890951,Delhi Daredevils,Deccan Chargers,3218,4075.666667,475.6666667,92,143.6666667,143.6666667,7.744186047,37.66666667,1,48
73,32,231,19,6,1.239689669,24.288,Deccan Chargers,Delhi Daredevils,816.3333333,1012,109.6666667,43,41.66666667,41.66666667,7.46130031,20,2,71
74,25,189,16,5,1.074621485,21.60144928,Kolkata Knight Riders,Mumbai Indians,554.8,596.2,54.2,21.2,27.6,27.6,7.891902439,110.3333333,1,27
75,25,189,16,5,1.219512195,26.36054422,Mumbai Indians,Kolkata Knight Riders,1588.75,1937.5,209,58.25,73.5,73.5,8.132454924,42,2,68
76,32,205,18,5,1.105613701,24.20833333,Rajasthan Royals,Royal Challengers Bangalore,525.5,581,75,9.5,24,24,7.643027414,107,1,51
77,32,205,18,5,1.206197399,28.15178571,Royal Challengers Bangalore,Rajasthan Royals,1568.4,1891.8,171.2,58,67.2,67.2,7.315118397,57,2,23
78,32,231,19,6,1.291852679,27.23529412,Delhi Daredevils,Kings XI Punjab,2688,3472.5,413,82.5,127.5,127.5,7.836199359,58.33333333,1,68
79,32,231,19,6,1.24539189,25.22727273,Kings XI Punjab,Delhi Daredevils,1247.8,1554,152.2,58.2,61.6,61.6,7.544996716,64.5,2,73
80,63,231,38,5,1.171577769,28.04464286,Mumbai Indians,Deccan Chargers,893.6666667,1047,127.3333333,23.33333333,37.33333333,37.33333333,7.900172117,31.75,1,57
81,63,231,38,5,1.271273386,24.85545723,Deccan Chargers,Mumbai Indians,1325.6,1685.2,157.4,70.2,67.8,67.8,7.965635739,86.75,2,32
82,36,232,19,5,1.027434104,20.53763441,Kolkata Knight Riders,Chennai Super Kings,464.75,477.5,49.25,15.5,23.25,23.25,8.298769772,27.5,1,35
83,36,232,19,5,1.158736201,20.84931507,Chennai Super Kings,Kolkata Knight Riders,1313.5,1522,196,26,73,73,8.064386318,54,2,43
84,74,263,40,5,1.044568245,21.89781022,Royal Challengers Bangalore,Delhi Daredevils,957.3333333,1000,105,18,45.66666667,45.66666667,8.111906311,30,1,41
85,74,263,40,5,1.291852679,27.23529412,Delhi Daredevils,Royal Challengers Bangalore,2688,3472.5,413,82.5,127.5,127.5,7.426951301,109.25,2,71
86,36,232,19,5,1.010698553,22.61971831,Kolkata Knight Riders,Rajasthan Royals,529.6666667,535.3333333,58,15.33333333,23.66666667,23.66666667,7.531712474,77,1,32
87,36,232,19,5,1.27331996,26.17525773,Rajasthan Royals,Kolkata Knight Riders,997,1269.5,132.5,52.5,48.5,48.5,8.064628821,56.25,2,42
88,25,189,16,5,1.286803049,30.84615385,Kings XI Punjab,Mumbai Indians,831,1069.333333,114.3333333,34,34.66666667,34.66666667,7.624671916,48.33333333,1,43
89,25,189,16,5,1.236367733,27.99489796,Mumbai Indians,Kings XI Punjab,1479.333333,1829,208.3333333,61.66666667,65.33333333,65.33333333,7.836199359,58.33333333,2,68
90,93,246,59,5,1.176438595,28.23759791,Royal Challengers Bangalore,Chennai Super Kings,2298.25,2703.75,266.5,69.25,95.75,95.75,8.298769772,27.5,1,23
